city,latitude,longitude
DELHI,28.6273928,77.1716954
JAIPUR,26.9154576,75.8189817
KISHANGARH,26.5885585,74.861097
UDAIPUR,24.578721,73.6862571
AHMEDABAD,23.0216238,72.5797068
VADODARA,22.2973142,73.1942567
SURAT,21.2094892,72.8317058
MUMBAI,18.9733536,72.82810491917377
AGRA,27.1752554,78.0098161
GWALIOR,26.2037247,78.1573628
BHOPAL,23.2584857,77.401989
NAGPUR,21.1498134,79.0820556
HYDERABAD,17.360589,78.4740613
BENGALURU,12.9767936,77.590082
PUNE,18.521428,73.8544541
KALABURAGI,17.166667,77.083333
VIJAYWADA,16.511298,80.6346206
RAJAHMUNDRY,17.0050454,81.7804732
VISAKHAPATNAM,17.7231276,83.3012842
KOLHAPUR,16.7028412,74.2405329
BELGAUM,15.8572666,74.5069343
HUBLI,15.3518378,75.1379848
CHANDIGARH,30.7334421,76.7797143
AMRITSAR,31.6343083,74.8736788
CHENNAI,13.0836939,80.270186
TIRUPATI,13.77928955,79.83512262283737
INDORE,22.7203616,75.8681996
NASIK,20.0112475,73.7902364
MYSORE,12.3051828,76.6553609
JODHPUR,26.2967719,73.0351433
AURANGABAD,19.877263,75.3390241
RAIPUR,21.2380912,81.6336993
JHARSUGUDA,21.87705125,84.00905063735019
KOLKATA,22.5726459,88.3638953
DABOLIM,15.3896948,73.8528925
MANGALORE,12.8698101,74.8430082
KANNUR,11.8763836,75.3737973
KOZHIKODE,11.2450558,75.7754716
KOCHI,9.9674277,76.2454436
TRIVANDRUM,8.4882267,76.947551
COIMBATORE,11.0018115,76.9628425
COIMBATORE,11.0018115,76.9628425
KOCHI,9.9674277,76.2454436
KOCHI,9.9674277,76.2454436
TRIVANDRUM,8.4882267,76.947551
JABALPUR,23.1608938,79.9497702
JABALPUR,23.1608938,79.9497702
ALLAHABAD,25.4381302,81.8338005
ALLAHABAD,25.4381302,81.8338005
KANPUR,26.4609135,80.3217588
KANPUR,26.4609135,80.3217588
LUCKNOW,26.8381,80.9346001
MUMBAI,18.9733536,72.82810491917377
DABOLIM,15.3896948,73.8528925
DABOLIM,15.3896948,73.8528925
MANGALORE,12.8698101,74.8430082
MANGALORE,12.8698101,74.8430082
KANNUR,11.8763836,75.3737973
KANNUR,11.8763836,75.3737973
KOZHIKODE,11.2450558,75.7754716
KOZHIKODE,11.2450558,75.7754716
KOCHI,9.9674277,76.2454436
KOCHI,9.9674277,76.2454436
TRIVANDRUM,8.4882267,76.947551
BENGALURU,12.9767936,77.590082
COIMBATORE,11.0018115,76.9628425
COIMBATORE,11.0018115,76.9628425
KOCHI,9.9674277,76.2454436
KOCHI,9.9674277,76.2454436
TRIVANDRUM,8.4882267,76.947551
VARANASI,25.3356491,83.0076292
PATNA,25.6093239,85.1235252
BAGDOGRA,26.6988847,88.3200303
BAGDOGRA,26.6988847,88.3200303
GUWAHATI,26.1805978,91.753943
